Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,furn-chair-1,"-524'-5 9/16""","520'-9 5/8""","0'-0""",-1.0000,1.0000,1.0000
1,ELEV_IDEN,"-462'-9 3/16""","537'-0 3/16""","0'-0""",1.0000,1.0000,1.0000
1,ELEV_IDEN,"-582'-0""","-130'-5 5/8""","0'-0""",0.0417,0.0417,0.0417
1,DOOR-36_deepwall,"-514'-3 1/4""","556'-3""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36_deepwall,"-502'-10 1/4""","555'-7 3/4""","0'-0""",1.0000,1.0000,1.0000
1,L6x4,"-357'-2 11/16""","225'-5 1/4""","0'-0""",-1.0000,1.0000,1.0000
1,ELEV_IDEN,"-585'-0 3/8""","-130'-3 3/4""","0'-0""",0.0417,0.0417,0.0417
1,ELEV_IDEN,"-587'-11 15/16""","-121'-6 5/16""","0'-0""",0.1250,0.1250,0.1250
1,ELEV_IDEN,"-592'-4 13/16""","-105'-0 15/16""","0'-0""",0.2500,0.2500,0.2500
1,ELEV_IDEN,"-601'-1 3/4""","-73'-2 1/16""","0'-0""",0.5000,0.5000,0.5000
1,ELEV_IDEN,"-586'-4 7/8""","-126'-8 3/8""","0'-0""",0.0833,0.0833,0.0833
1,ELEV_IDEN,"-589'-4 7/16""","-114'-8 5/16""","0'-0""",0.1667,0.1667,0.1667
1,ELEV_IDEN,"-595'-1 1/16""","-91'-4 7/8""","0'-0""",0.3333,0.3333,0.3333
1,TITLEMARK,"0'-3 7/16""","0'-1 1/4""","0'-0""",1.0000,1.0000,1.0000
1,TITLEMARK,"1'-5 13/16""","0'-1 1/4""","0'-0""",1.0000,1.0000,1.0000
1,TITLEMARK,"1'-4 1/2""","0'-1 7/16""","0'-0""",1.0000,1.0000,1.0000
1,TITLEMARK,"0'-6 3/4""","1'-4""","0'-0""",1.0000,1.0000,1.0000
1,TITLEMARK,"1'-1 13/16""","1'-4""","0'-0""",1.0000,1.0000,1.0000
1,TITLEMARK,"1'-8 1/4""","1'-4""","0'-0""",1.0000,1.0000,1.0000
1,THERMOSTAT,"263'-11 1/4""","581'-0 7/16""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36-LEAF,"-0'-1 3/8""","1046'-0 3/4""","0'-0""",-1.0000,1.0000,1.0000
1,DOOR-36-LEAF,"-16'-3 1/2""","0'-0""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36-LEAF,"-0'-2""","0'-0""","0'-0""",1.0000,1.0000,1.0000
1,THERMOSTAT,"263'-7 3/4""","599'-11 1/16""","0'-0""",1.0000,1.0000,1.0000
1,THERMOSTAT,"263'-7 3/4""","630'-3 1/4""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36-LEAF,"-16'-0 7/8""","1046'-0 3/4""","0'-0""",-1.0000,1.0000,1.0000
1,ELEV_IDEN,"-606'-6 1/4""","-46'-9 15/16""","0'-0""",0.6667,0.6667,0.6667
1,furn-chair-1,"-470'-11 13/16""","544'-9 1/16""","0'-0""",-1.0000,1.0000,1.0000
1,furn-chair-1,"-438'-8 1/16""","544'-9 1/16""","0'-0""",-1.0000,1.0000,1.0000
1,furn-conf-4,"0'-3""","347'-10 3/8""","0'-0""",1.0000,1.0000,1.0000
1,furn-chair-1,"-478'-7 3/8""","499'-9 5/16""","0'-0""",-1.0000,1.0000,1.0000
1,furn-chair-1,"-463'-3 1/2""","544'-9 1/16""","0'-0""",1.0000,1.0000,1.0000
1,furn-chair-1,"-495'-6 1/2""","544'-9 1/16""","0'-0""",1.0000,1.0000,1.0000
1,furn-conf-4,"7'-2 3/8""","347'-10 3/8""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36,"-451'-8 1/16""","540'-4 3/4""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36,"-483'-8 1/16""","540'-4 3/4""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36,"-482'-7 3/16""","540'-4 3/4""","0'-0""",-1.0000,1.0000,1.0000
1,furn-conf-4,"32'-3""","347'-10 3/8""","0'-0""",1.0000,1.0000,1.0000
1,furn-conf-4,"39'-2 3/8""","347'-10 3/8""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36,"-450'-7 3/16""","540'-4 3/4""","0'-0""",-1.0000,1.0000,1.0000
1,DOOR-36,"-462'-8 1/4""","505'-7 15/16""","0'-0""",-1.0000,1.0000,1.0000
1,DOOR-36,"-452'-0 1/4""","505'-7 15/16""","0'-0""",-1.0000,1.0000,1.0000
1,DOOR-36,"-450'-3""","505'-7 15/16""","0'-0""",1.0000,1.0000,1.0000
1,ELEV_IDEN,"-618'-7 3/4""","-11'-4 7/16""","0'-0""",1.0000,1.0000,1.0000
1,DOOR-36,"-484'-0 1/4""","505'-7 15/16""","0'-0""",-1.0000,1.0000,1.0000
1,DOOR-36,"-473'-4 1/4""","505'-7 15/16""","0'-0""",-1.0000,1.0000,1.0000
1,furn-chair-guest,"-479'-2 7/8""","505'-6 3/8""","0'-0""",1.0000,1.0000,1.0000
1,furn-chair-1,"-438'-8 1/16""","501'-4 1/8""","0'-0""",1.0000,1.0000,1.0000
1,furn-chair-1,"-457'-3 3/8""","499'-9 5/16""","0'-0""",-1.0000,1.0000,1.0000
1,furn-chair-1,"-467'-11 3/8""","499'-9 5/16""","0'-0""",-1.0000,1.0000,1.0000
1,furn-chair-guest,"-468'-6 7/8""","505'-6 3/8""","0'-0""",1.0000,1.0000,1.0000
1,furn-chair-guest,"-457'-10 7/8""","505'-6 3/8""","0'-0""",1.0000,1.0000,1.0000
1,furn-chair-1,"-495'-7 5/16""","501'-4 1/8""","0'-0""",-1.0000,1.0000,1.0000
